+--------------------------+-----------------------------+--------------+------+
| Table                    | Column                      | Replacements | Type |
+--------------------------+-----------------------------+--------------+------+
| _pantheon_heartbeat      | actor                       | 0            | SQL  |
| _pt_heartbeat            | ts                          | 0            | SQL  |
| _pt_heartbeat            | file                        | 0            | SQL  |
| _pt_heartbeat            | relay_master_log_file       | 0            | SQL  |
| wp_s40i2xujj5_cleantalk_ | id                          | 0            | SQL  |
| ac_log                   |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | ip                          | 0            | SQL  |
| ac_log                   |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | ua                          | 0            | SQL  |
| ac_log                   |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | id                          | 0            | SQL  |
| sessions                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | name                        | 0            | SQL  |
| sessions                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | value                       | 0            | SQL  |
| sessions                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | id                          | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | ip                          | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | ua_name                     | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | network                     | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | first_url                   | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | last_url                    | 0            | SQL  |
| sfw_logs                 |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | scan_type                   | 0            | SQL  |
| spamscan_logs            |                             |              |      |
| wp_s40i2xujj5_cleantalk_ | ua_template                 | 0            | SQL  |
| ua_bl                    |                             |              |      |
| wp_s40i2xujj5_commentmet | meta_key                    | 0            | SQL  |
| a                        |                             |              |      |
| wp_s40i2xujj5_commentmet | meta_value                  | 0            | SQL  |
| a                        |                             |              |      |
| wp_s40i2xujj5_comments   | comment_author              | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_author_email        | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_author_url          | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_author_IP           | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_content             | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_approved            | 0            | SQL  |
| wp_s40i2xujj5_comments   | comment_agent               | 0            | SQL  |
